year,m_ge_2.5,m_ge_3,m_ge_4,m_ge_4.5,m_ge_5,m_ge_5.5,m_ge_6,m_ge_7
2018,970,970,970,970,241,61,17,2
2019,1141,1141,1141,1141,297,65,19,3
2020,754,754,754,754,161,42,17,0
2021,916,916,916,916,200,53,18,3
2022,942,942,942,942,188,40,14,0
2023,954,954,954,954,215,60,23,6
2024,756,756,756,756,159,28,8,0
2026,32,30,25,22,16,6,3,0
